what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389450072452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389450115049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389450616284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389450618712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389450619985
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1389450637978
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1389450656178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389450661313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389450663886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389450664097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389450817703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389450914450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1389451040388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389451041496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389451045604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389451079527
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1389451099475
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1389451146075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389451172905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389451186670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389451222227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389451283112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389451298193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389451333049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389451335768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389451338832
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1389451359671
activated,editor,org.scala-ide.sdt.core,3.0.0.v-2_09-201303191340-dac2f1c,"scala.tools.eclipse.ScalaSourceFileEditor",1389451429398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389451435707
